Date,Close,High,Low,Open,Volume,Stock_Symbol
2026-05-28,442.1,443.96,436.3,437.62,32435000,TSLA
2026-05-29,435.79,441.07,428.14,439.85,45176800,TSLA
2026-06-01,415.88,429.6,415.43,427.49,44937900,TSLA
2026-06-02,423.74,424.42,413.65,418.22,37596000,TSLA
2026-06-03,423.7,433.6,416.0,418.7,44500700,TSLA
2026-06-04,418.45,426.35,417.16,419.84,35323300,TSLA
2026-06-05,391.0,424.68,388.59,420.5,63420200,TSLA
2026-06-08,408.95,412.94,394.72,396.33,50328800,TSLA
2026-06-09,396.68,418.5,384.24,411.03,59940200,TSLA
2026-06-10,381.59,397.09,380.15,391.54,49695600,TSLA
2026-06-11,399.15,399.54,380.66,388.28,45324300,TSLA
2026-06-12,406.43,406.68,386.76,399.49,63514500,TSLA
2026-06-15,411.15,416.0,407.1,412.37,45620500,TSLA
2026-06-16,404.66,412.42,400.54,404.11,40255500,TSLA
2026-06-17,396.38,405.94,393.76,401.53,43534300,TSLA
2026-06-18,400.49,402.52,384.7,398.1,58384700,TSLA
